,SMILES
0,O=C1NN=C(c2ccc(OC3CCN(C4CCC4)CC3)cc2)[C@@H]2C[C@H]12
1,COc1ccc([C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@@H]2OC(C)=O)cc1
2,CN1C[C@H]2[C@@H](C1)[C@@H]2CN(Cc1cccc(OC(F)(F)F)c1)C(=O)c1cn(C)cn1
3,O=C1CN(CCc2ccc(F)cc2)CCN1[C@H]1CCc2cc(CN3CCS(=O)(=O)CC3)ccc2C1
4,COc1ccc2c(=O)n(CCO)c(C#N)c(-c3cccc(F)c3)c2c1
5,NCC(=O)N1CCn2c(nc(-c3cccc(F)c3)c2Nc2ccc(F)cc2)C1
6,N#Cc1cc2cc(C3(Cc4ccccc4)CCNC3)ccc2[nH]1
7,Cn1ccc2cc(C3(Cc4ccccc4)CCNC3)ccc21
8,c1ccc(CC2(c3ccc4[nH]ccc4c3)CCNC2)cc1
9,O=C(CCc1cccnc1)N[C@H]1CC[C@H](c2ccc(O)cc2)CC1
10,CCOc1ccccc1C[C@H](c1ccccc1)N1CCNCC1.Cl
11,CCc1cccc(NC(=O)N2CCc3nc(-c4cncnc4)nc(-c4ccccc4C)c3C2)c1
12,Fc1ccc(CC2(c3ccc4[nH]ccc4c3)CCNC2)cc1
13,C[C@@H]1CCCN1CCCOc1ccc(N2CCN(C(=O)c3cc(F)cc(F)c3)CC2=O)cc1.O=CO
14,O=C(c1ccc(F)cc1F)N1CCN(c2ccc(OCCCN3CCCC3)cc2)C(=O)C1
15,COc1cc(F)ccc1-c1cncc(C2CCCN2)c1
16,COc1cc(F)ccc1-c1cncc(CNC(=O)c2ccccn2)c1
17,Fc1ccc(Cn2c(C3CNCCS3)nc3ccccc32)cc1
18,COc1ccc(Cn2c([C@H]3CNCCS3)nc3ccccc32)cc1
19,Cc1cnn(C2CCN(c3nc4ccccc4n3Cc3ccc(F)cc3)CC2)c1
20,Cc1nc2cnc(Oc3ccc4ncsc4c3)cc2c(=O)n1C[C@H]1CCCN(C(C)C)C1
21,CC(=O)N(C)C1CCC([C@H](C(=O)N(C)C)[C@H](N)C(=O)N2CC[C@H](F)C2)CC1.Cl
22,CN(C)C(=O)[C@@H](c1ccc(-c2ccc(F)cc2)cc1)[C@H](N)C(=O)N1CC[C@H](F)C1
23,C[C@@H]1CCCN1CCCOc1ccc(C2=NNC(=O)C(C)(C)C2)cc1
24,CC1(C(F)(F)F)NCCc2c1oc1cc(S(=O)(=O)c3cccc(F)c3)ccc21
25,Cc1cc(=O)n2nc(N3CC[C@H](c4cc(F)c(F)cc4F)[C@@H](N)C3)ccc2n1.O=C(O)C(F)(F)F
26,O=C(NC1CCN(Cc2ccc(OCCCN(C3CC3)C3CC3)c(F)c2)CC1)c1cc(=O)c2ccc(F)cc2o1
27,Cc1cc(-c2ccc3c(c2)CCN(CCCSc2nnc(C(C)C)n2C)CC3)no1
28,Cc1cc(-c2ccc3c(c2)CCN(CCCSc2nnc(-c4cccc(Cl)c4)n2C)CC3)no1
29,CC(=O)C1=NN2c3cc(F)ccc3OC[C@H]2[C@@]1(CCCN1CCOCC1)c1ccccc1
30,c1ccc([C@H]([C@@H](c2ccccc2)N2CCCCC2)N2CCCCC2)cc1
31,c1ccc([C@H]([C@@H](c2ccccc2)N2CCCC2)N2CCCC2)cc1
